urn,authority_name,canonical_id,mads_file,alt_ids,related_works,urn_status,redirect_to,created_by,edited_by
urn:cite:perseus:author.1.1,Anacreontea,,PrimaryAuthors/A/Anacreontea/n83-015406.mads.xml,,tlg4150.tlg001,published,,feed_aggregator,
urn:cite:perseus:author.2.1,"Abelard, Peter 1079-1142",stoa0002,PrimaryAuthors/A/Abelard/n79-142562.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.3.1,Ablabius Rhetor 5. Jh. n. Chr,tlg4023,"PrimaryAuthors/A/Ablabius Illustrius, Epigrammatist/AblabiusIllustrius.mads.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.4.1,Ablabius,phi2000,PrimaryAuthors/A/Ablabius/nr95-20708.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.5.1,"Accius, Lucius",phi0400,PrimaryAuthors/A/Accius/n80-125819.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.6.1,Aceratus Epigrammaticus 1. Jh. n. Chr,,PrimaryAuthors/A/Aceratus/aceratus.mads.dnb.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.7.1,Aceratus Gramm A.D. 1,tlg0101,PrimaryAuthors/A/Aceratus/aceratus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.8.1,Acestodorus Megalopolitanus 3. Jh. v. Chr,tlg1818,PrimaryAuthors/A/Acestodorus/viaf37304158.mads.xml,tlg1818x01,,published,,feed_aggregator,
urn:cite:perseus:author.9.1,Achaeus Eretriensis ca. 484 - ca. 401 v. Chr,tlg0309,PrimaryAuthors/A/Achaeus Eretriensis/AchaeusEretriensis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.10.1,Achilles Tatius,tlg0532,PrimaryAuthors/A/Achilles Tatius/n80-9786.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.11.1,Acholius,stoa0004,PrimaryAuthors/A/Acholius/acholius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.12.1,"Acilius, Gaius um 155 v. Chr",tlg2545,PrimaryAuthors/A/Acilius/acilius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.13.1,"Actorius Naso, Marcus",stoa0005,PrimaryAuthors/A/Actorius Naso/ActoriusNaso.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.14.1,Acusilaus of Argos,tlg0392,PrimaryAuthors/A/Acusilaus/nr2006008684.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.15.1,Adaeus Epigr A.D. 1,tlg0102,"PrimaryAuthors/A/Adaeus, epigrammatist/adaeus.mads.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.16.1,Adaeus Macedo 1. Jh. n. Chr,,"PrimaryAuthors/A/Adaeus, epigrammatist/adaeus.mads.dnb.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.17.1,Adamant,tlg0731,PrimaryAuthors/A/Adamant (Adamantius Judaeus)/n92-72374.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.18.1,Adrianus of Tyre ca. 113-ca. 193,tlg0666,PrimaryAuthors/A/Adrianus/no91-13589.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.19.1,Aelian 3rd cent,tlg0545,PrimaryAuthors/A/Aelian/n82-32651.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.20.1,Aelius Iunius Cordus 3. Jh. n. Chr,stoa0098b,PrimaryAuthors/A/Aelius Iunius Cordus/AeliusIuniusCordus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.21.1,Aelius Maurus,stoa0010b,PrimaryAuthors/A/Aelius Maurus/AeliusMaurus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.22.1,Aelius Sabinus ca. Ende 3. Jh,stoa0248a,PrimaryAuthors/A/Aelius Sabinus/viaf172518861.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.23.1,"Aelius Tubero, Q. (Quintus) b. ca. 76 B.C",phi0670,PrimaryAuthors/A/Aelius Tubero/nr95-38408.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.24.1,Aemilianus Rhetor A.D. 1,tlg0103,PrimaryAuthors/A/Aemilianus/aemilianus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.25.1,Aemilius Parthenianus,stoa0220b,"PrimaryAuthors/P/Pa-Pe/Parthenianus, Aemilius/viaf172627752.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.26.1,Aemilius Sura,phi2300,PrimaryAuthors/A/Aemilius Sura/nr95-28790.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.27.1,Aeneas Gazaeus 430-486,tlg4001,PrimaryAuthors/A/Aeneas Gazaeus/viaf102328360.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.28.1,Aeneas Tacticus 4th cent. B.C,tlg0058,PrimaryAuthors/A/Aeneas Tacticus/n88-206516.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.29.1,Aeschines Rhet,tlg0104,"PrimaryAuthors/A/Aeschines, Epigrammatist/aeschines.mads.xml",,,published,,feed_aggregator,
